date,ask_C,ask_mm,wcus_C,wcus_mm,acn_C,acn_mm,acs_C,acs_mm,gp_C,gp_mm,ice_C,ice_mm,sva_C,sva_mm,sav_C,sav_mm,rac_C,rac_mm,na_C,na_mm,ce_C,ce_mm,cme_C,cme_mm,ca_C,ca_mm,saw_C,saw_mm,sae_C,sae_mm,lol_C,lol_mm,san_C,san_mm,nz_C,nz_mm,as_C,as_mm
9/2/2000,-10.96066502,0.363108,-6.848859712,5.791975521,-33.29021772,0.02126251,-32.72359574,0.04270096,-29.09180711,0.756493703,-6.747931168,15.881356,-19.64970444,0.341581981,-8.167044409,4.381964167,-24.22827872,0.570872278,-18.08120124,1.107382409,-9.170901526,10.23718061,-10.473234,0.002627365,-20.97097846,0.817783539,-25.41443761,4.062326724,-19.34476132,1.549801867,4.514594475,9.167007505,5.099669604,10.93093762,9.136391941,7.821933665,-6.505444696,1.212601204
10/2/2000,-12.45946525,0.446451806,-8.978005438,1.053392759,-28.70591604,0.012719792,-31.49956478,0.052921725,-27.19421176,0.430064967,-11.16424825,0.812450179,-21.6239537,0.222429277,-5.848735467,15.18700323,-20.04211642,1.399204275,-18.00724732,1.267510746,-8.249647009,0.249366344,-9.684101385,0.002787244,-22.13541576,0.780330017,-23.58832307,6.068792315,-17.56176504,5.049693126,3.758909798,15.82459292,3.104501503,15.03653307,11.00673558,0.157546436,-8.088058385,0.370155565
11/2/2000,-12.08246624,0.496148541,-11.84784364,0.248964076,-28.31118859,0.009624435,-30.11138876,0.384985787,-27.95103277,0.224805549,-11.29070443,11.65917276,-21.28447696,0.658930281,-5.512093557,18.58795697,-15.71613786,2.344223061,-20.08772329,0.438967616,-7.082873739,5.433521088,-9.802653657,0.042547361,-23.07754348,0.691353397,-24.91467483,2.33943335,-16.341147,11.40391416,3.891687902,6.992529535,1.280960407,9.538449448,11.98720936,0.444173413,-8.57580499,0.784386443
12/2/2000,-11.13230856,0.247045374,-13.21543239,0.34876873,-28.20582733,0.0279745,-30.97724077,0.271819922,-28.02667378,0.096784283,-12.25933169,3.158114511,-18.12773304,0.527580872,-5.634533262,7.687847801,-10.87361548,3.341782877,-20.18815037,1.275626655,-8.24431818,0.36271238,-11.68757755,0.600965633,-23.56599135,0.503212217,-28.12126344,0.273897985,-16.75579275,3.231677187,4.043546627,5.349156025,-0.106438526,8.437531305,10.07722282,13.67976103,-8.727404756,1.303024865
13/2/2000,-11.1633537,0.0582697,-14.28934905,0.149879321,-26.85054221,0.017520812,-32.75635364,0.266912637,-27.93664746,0.350598068,-16.31552049,1.158332244,-17.06695251,3.040773015,-7.04669546,7.950948444,-9.805071239,1.839950564,-17.17807359,2.875080123,-8.33905888,5.177050898,-13.1716655,0.148458431,-23.03061749,0.2224341,-29.49773242,0.012487666,-17.21522221,1.917598787,4.091838345,8.431666917,1.889551661,3.720387381,7.817575603,23.89798888,-8.847128559,1.153955242
14/2/2000,-12.70738489,0.037510442,-15.20232152,0.373364225,-26.61065048,0.022055928,-32.25790098,0.081311156,-27.99657153,0.6856869,-8.657134167,19.77382684,-12.53259421,2.203171419,-8.389952915,5.916470648,-12.67204835,0.763705607,-16.11076002,2.941375745,-7.461003558,0.844626026,-12.65691815,0.104085272,-21.13974776,0.376914118,-27.79529121,0.069004892,-18.60019124,1.480288169,3.322512788,7.592272564,3.802629967,1.037282263,6.633048135,10.75654912,-9.224676061,1.102007527
15/2/2000,-13.18977006,0.118724351,-14.64408388,0.692016422,-28.81649651,0.021866865,-33.16443978,0.011914166,-27.35954721,0.186681395,-13.10366176,2.034434464,-12.15687015,3.703617082,-8.407124149,3.261405878,-16.28207464,0.440713774,-15.49041501,1.743501756,-6.988798487,4.200153238,-12.70992293,0.123911958,-18.3277035,1.274094332,-22.96028428,3.406865452,-16.85813035,0.81866589,3.146061371,8.832503885,6.531806864,0.150152236,10.63335916,29.43775599,-8.199816627,2.332814054
16/2/2000,-13.15275423,1.887241515,-14.46633106,0.165706603,-30.73314063,0.012610064,-31.82082866,0.045004023,-28.07532858,0.24144449,-10.96900457,1.345355436,-11.02281837,2.201121195,-12.09342537,0.196474954,-19.80267057,0.654569933,-16.65781963,1.704716241,-10.05213503,13.60999095,-10.4252683,0.804245342,-20.02694941,1.253987405,-23.71996611,2.684504289,-16.70782095,2.701710186,2.744759937,10.3479424,7.486890314,3.134754689,9.741630701,6.730977867,-6.889392,4.108521874
17/2/2000,-12.57174214,5.590593781,-13.8619929,0.042674698,-31.21492608,0.005961594,-30.13988153,0.243151322,-26.56775012,0.300455072,-11.44934501,1.445766431,-16.90350928,1.097449195,-13.72214616,0.049000134,-22.72998426,0.174581146,-18.93602811,1.119936404,-14.53193972,8.534007643,-10.63040863,0.61765337,-21.9867019,1.011580855,-25.93168146,0.886884764,-18.78659835,3.694791463,2.433796676,9.50444092,4.888897165,1.657859117,10.16996889,1.797915492,-6.015327409,3.507190303
18/2/2000,-10.10663747,9.321402701,-12.34146325,0.331760563,-30.33674073,0.016835289,-28.90466425,0.515316962,-26.10980308,0.714484224,-15.09287676,0.513341808,-16.28883032,1.576102766,-15.40063485,0.297793446,-23.92182023,0.383835352,-18.3969328,1.665614317,-11.9249358,14.40245686,-10.03099382,0.006966811,-23.58297319,0.62305674,-27.97282733,0.424388113,-20.0741998,2.768519113,2.631628123,5.814180162,5.263362287,0.090712447,11.00995004,0.043692082,-6.27670123,2.446735979
19/2/2000,-7.6554518,24.54146881,-10.39035689,0.510728871,-27.02377092,0.018172477,-25.21345963,0.91257628,-25.53450749,1.729052481,-14.16313795,3.601299722,-16.89952282,0.208476413,-13.53489232,1.507524477,-23.59965791,0.872104228,-19.13015571,1.291977334,-10.10245603,14.80681605,-8.432332342,0.056218946,-24.36992459,0.524042763,-29.18729189,0.432477321,-20.65184522,2.505177172,3.444722055,6.763655206,6.963368829,0.068421147,12.23178063,0.464363671,-6.787568568,2.523565198
20/2/2000,-8.345398158,11.68300946,-8.792895661,1.649184444,-23.92636567,0.003682029,-21.65099203,0.323539196,-25.2389825,1.389810498,-5.875574123,35.47924452,-17.04542654,0.108254577,-12.65628659,2.311466069,-24.64197903,0.400827314,-20.68765153,1.031912143,-12.71909533,6.452485091,-11.36697631,1.982232186,-25.06706261,1.032700109,-28.64829476,1.463124966,-20.37370678,3.438271204,3.576163138,9.454029806,6.893284413,3.995449686,9.376010056,8.808265292,-7.626620695,1.988935949
21/2/2000,-10.32634893,3.465651317,-7.322962966,6.621795966,-22.80815294,0.130664768,-23.54782573,0.353397342,-24.26789953,1.452865985,-10.5858551,1.832574356,-19.44406294,0.417091921,-13.4171911,1.312920979,-25.0975147,0.353896874,-22.48607551,0.80482156,-13.2215751,0.250497664,-10.29765415,0.02193995,-25.97889827,0.544332663,-28.4499483,0.564261459,-19.39134095,1.456942487,3.517180198,8.735702798,5.541929126,6.835328628,6.948130101,1.338679754,-8.102872866,2.997448737
